1724;2020
1516;1650
315;1042
2087;2701
1976;2964
1687;2933
273;762
1292;1507
1486;2262
1906;2061
304;1168
2160;2730
1977;2565
2458;2601
596;871
2121;2769
144;760
2071;2143
1685;2678
2323;2778
32;77
1575;2674
1787;2128
2590;2940
708;1055
1616;2200
1980;2777
47;143
1041;1156
343;959
1389;1708
60;780
1177;1860
2285;2917
69;2232
547;1116
256;1183
442;2410
1316;2368
174;881
2372;2467
1811;2374
2137;2834
199;742
404;766
1344;2801
2530;2834
589;1023
238;1175
1034;1116
492;1667
73;1575
2384;2736
1631;2311
64;454
2333;2409
196;655
1226;1612
2004;2187
592;1084
1250;2902
1684;2327
85;1169
1519;2958
852;2222
1464;1748
844;1122
2350;2463
119;950
724;788
1477;1970
416;1809
505;1442
2701;2760
1946;2663
1633;2113
1705;2764
2709;2969
288;1371
2225;2963
215;368
2309;2553
71;1004
1092;2290
112;739
2587;2905
388;750
867;917
48;123
492;810
682;758
1030;1424
1540;2857
1015;1194
864;876
183;500
1308;1409
2044;2947
2012;2489
1638;2599
2018;2933
2123;2812
175;1153
1915;2535
1951;2679
2071;2348
275;2775
371;618
618;745
1494;2718
1384;2188
2361;2776
522;915
1741;2288
528;1116
218;362
2492;2701
57;808
1855;2560
2037;2733
1363;1726
2764;2933
671;1131
2547;2575
1891;2921
2031;2568
1277;1677
335;1170
319;569
291;740
2329;2441
1855;2534
2151;2733
43;555
1833;2932
32;216
1320;1653
2465;2801
637;1060
1997;2698
2536;2618
1883;2070
195;773
1049;2717
1553;2310
2089;2658
304;599
247;553
867;1097
2510;2965
701;900
2017;2370
1247;1757
2777;2878
1229;1562
2343;2471
45;881
136;979
982;1061
175;402
1718;2274
1297;2874
274;961
1381;2957
145;564
1609;2282
2508;2893
2686;2701
2580;2815
1232;1291
180;957
792;1505
141;1043
806;808
509;936
2685;2899
366;787
2483;2533
2257;2382
1711;2188
1959;2414
245;783
2160;2437
325;1099
715;1059
627;1129
690;1075
212;363
2431;2777
725;1158
2373;2583
2130;2228
491;1040
2491;2612
1644;2656
49;964
2037;2832
1305;2255
1470;1715
137;147
2780;2864
1639;1845
438;1079
2624;2841
1212;2602
463;608
1281;1747
2001;2384
4;84
353;1630
557;768
446;705
1369;2782
2202;2717
826;867
131;363
1802;2194
1585;2274
97;1317
766;2673
1229;1715
483;2096
252;903
1964;2178
1486;2762
451;2595
135;1100
252;1066
1792;2099
1330;1860
522;1134
153;961
2344;2472
1116;1178
504;811
964;1099
1795;1797
1733;2793
1451;2431
2651;2733
533;735
205;958
222;996
1183;1185
585;800
2393;2814
286;1086
2119;2137
617;1163
801;1116
2239;2624
81;914
1406;1771
1775;1997
1335;2128
1871;2050
124;528
608;1005
1066;1078
16;914
2403;2520
242;758
2308;2342
167;1505
228;933
2305;2672
620;659
2263;2772
1417;2781
2004;2695
682;718
572;622
1586;2344
635;738
362;574
610;1084
741;1798
2102;2729
677;858
2082;2681
2089;2483
1634;1941
1464;2558
1466;1620
1838;2300
2589;2826
1288;1408
384;722
1499;1780
1841;2008
377;929
142;777
1316;1329
273;831
2624;2917
2451;2819
406;637
1756;1767
1974;2174
639;1067
1750;2105
2205;2365
1584;2276
1837;2254
61;937
479;494
562;590
2582;2789
1328;2594
2029;2662
1567;2850
2812;2816
499;769
423;663
1298;2497
1739;2029
1682;1952
1389;1407
2185;2434
436;1570
926;942
1274;1820
188;387
1851;2736
1335;2627
299;794
172;1060
2301;2862
108;170
2882;2917
112;173
2545;2756
2107;2141
0;2785
1664;2521
1770;2611
1212;1941
2568;2728
1893;2362
1083;2312
438;1198
1463;1656
573;2598
1238;1336
507;959
2384;2547
127;956
698;916
314;925
611;641
2249;2812
379;753
16;879
1889;2269
1884;2888
1251;2341
724;983
1543;2304
374;856
1458;2169
1840;1878
297;1335
168;713
759;771
2239;2541
1952;2914
2604;2772
2199;2640
2237;2333
1841;2728
2776;2968
2696;2866
1397;2406
2068;2660
1576;2137
1906;1984
60;848
1259;1836
1824;1971
2291;2833
1410;1984
409;2688
255;983
591;677
134;494
301;2563
419;1184
2128;2617
1999;2463
536;721
1739;1754
249;1659
1872;2069
2353;2764
2830;2926
268;952
2383;2672
562;990
1889;2870
1440;1561
1121;1136
1470;2333
1599;1659
1217;1449
333;936
2086;2572
397;459
1214;2850
347;884
2152;2791
793;1106
212;446
1733;2959
43;1080
264;495
908;936
31;555
2662;2746
925;2322
316;451
653;1020
1083;1675
1912;2918
309;774
455;520
2247;2254
62;698
2870;2919
1939;2138
94;1182
76;1126
2110;2955
1212;1576
1397;2788
746;826
1738;2784
2406;2801
468;484
2369;2520
825;1053
759;1104
1341;2557
353;1662
102;161
413;1366
1394;1766
1467;2635
995;1126
185;965
1421;1834
2170;2173
500;2288
271;525
1434;2555
225;475
1803;2819
2123;2816
2136;2670
692;1097
2058;2881
71;1148
685;896
2261;2362
1969;2848
2059;2665
1536;2381
2002;2801
980;1127
785;1175
432;1017
217;629
1280;1635
226;1533
1861;2407
2570;2763
946;994
2288;2622
2394;2745
898;1089
1878;2798
588;1695
2490;2942
443;1124
908;1066
12;803
1949;2723
255;1063
1346;1778
1675;2312
2320;2440
651;764
2599;2910
463;1066
929;1010
18;179
2781;2864
2049;2175
2353;2792
1824;2168
1226;1227
285;312
2044;2839
2037;2653
2074;2178
433;761
1308;2188
1663;2688
536;554
1271;1790
708;1148
2582;2733
31;745
1432;1636
326;1603
26;491
227;294
2261;2721
1542;2604
2095;2417
2574;2716
1601;1752
347;961
1503;2856
4;294
2435;2573
230;714
409;1702
1300;1470
2392;2734
623;829
1212;2030
2726;2810
2142;2573
1299;2803
801;853
1226;1566
149;705
276;1185
2285;2555
2081;2707
2023;2300
479;1119
2237;2832
2583;2597
250;577
432;1598
308;1121
1626;2825
2072;2169
135;144
1368;2145
1905;2190
1363;2430
76;872
1837;2913
226;1117
1160;2477
2386;2567
291;383
1731;2743
319;341
802;849
237;588
330;1150
991;1043
1642;1773
1796;2916
617;950
871;1017
125;247
2102;2581
1225;2164
2263;2724
1608;1887
2321;2730
1545;2462
1404;1486
468;1170
1450;2850
42;511
284;336
433;938
2632;2827
1322;1528
1722;1745
1541;2939
2685;2702
1629;1689
53;270
78;755
211;779
414;721
2185;2699
883;1196
642;1132
1085;1208
8;96
2203;2801
1936;2234
821;2798
2556;2916
1759;1832
2001;2528
333;880
2320;2849
2488;2499
1827;2364
97;961
995;1016
2432;2842
196;915
1668;2817
1298;1989
1486;2147
2101;2218
2416;2740
2124;2301
2149;2490
289;1152
588;712
183;804
1910;2777
1046;2257
1334;1413
550;660
1824;2507
183;853
1833;2323
1247;1601
2617;2653
1161;1390
1412;1734
2019;2240
520;598
1218;1557
1953;2167
1348;1520
28;725
16;245
2184;2535
2144;2414
1801;2120
44;291
1577;1959
1866;2024
2583;2750
111;789
521;1001
459;1088
1499;2218
559;637
11;59
1066;1079
1570;2459
1951;2058
1418;1736
284;1008
2213;2886
456;2077
1652;2226
1488;1547
1619;2097
1964;2670
1811;1873
122;643
690;945
1538;2359
604;815
1478;2370
2270;2547
1927;2443
629;652
1794;1815
175;1208
371;549
2102;2835
1888;2662
2218;2790
258;1041
35;1126
2475;2799
2407;2463
1531;1614
352;849
1177;2400
170;462
1943;2636
2407;2557
2137;2793
234;969
254;1036
1836;2164
522;650
347;1095
2383;2749
1936;2613
1238;1917
1398;1724
1277;1573
2156;2428
1416;1805
18;812
79;693
404;1089
335;460
1404;1567
1636;1638
2420;2900
2313;2486
1963;2230
2268;2816
270;1204
490;502
1342;1400
148;592
773;926
1746;2765
1932;2764
1490;1891
1821;2237
10;593
2004;2497
2141;2563
1348;2929
2707;2811
223;2897
1177;1371
496;954
2086;2447
749;865
2569;2639
2312;2661
167;1190
1314;1771
194;692
1046;2382
2406;2612
1712;1789
1323;1403
1105;1114
1411;2087
1833;2833
174;497
324;422
2793;2959
186;451
1625;1740
1572;1721
1955;2611
175;905
657;1914
2184;2672
1647;1902
1371;2145
2247;2639
2431;2482
1967;2601
